#
# File created on Mon Dec 29 07:48:51 UTC 2025
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
flt_inst/data_reg[0]/C,flt_inst/mem_gen[1].data_buf/mem_r_reg/DIADI[0],min,0.158,0,0
flt_inst/data_reg[7]/C,flt_inst/mem_gen[1].data_buf/mem_r_reg/DIADI[7],min,0.161,0,0
flt_inst/addrw_reg[3]/C,flt_inst/mem_gen[1].data_buf/mem_r_reg/ADDRARDADDR[7],min,0.161,0,0
flt_inst/addrw_reg[3]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/ADDRARDADDR[7],min,0.161,0,0
flt_inst/addrr_reg[1]/C,flt_inst/mem_gen[0].data_buf/mem_r_reg/ADDRBWRADDR[5],min,0.162,0,0
flt_inst/addrr_reg[1]/C,flt_inst/mem_gen[3].data_buf/mem_r_reg/ADDRBWRADDR[5],min,0.162,0,0
flt_inst/v_last_line_dly_cnt_reg[0]/C,flt_inst/v_last_line_dly_cnt_reg[5]/D,min,0.163,1,1
flt_inst/data_reg[0]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/DIADI[0],min,0.164,0,0
flt_inst/data_reg[5]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/DIADI[5],min,0.164,0,0
flt_inst/data_reg[4]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/DIADI[4],min,0.165,0,0
